name,id,lat,windspeed,temp,humidity,cloudiness
Bluff,2175403,-23.58,7.87,60.94,86,0
Vila Velha,6320062,-3.71,19.46,86.0,62,20
Biak,1637001,-0.91,5.75,75.79,99,92
Mataura,6201424,-46.19,10.22,42.94,82,92
Dingle,1714733,11.0,8.88,79.66,73,64
Port Elizabeth,4501427,39.31,6.93,81.99,79,20
Orlovskiy,514796,46.87,7.31,53.47,65,20
Albany,5106834,42.65,10.29,76.19,68,40
Grand Gaube,934479,-20.01,13.87,73.4,73,20
Krabi,1152633,8.06,3.85,79.77,94,20
Butaritari,2110227,3.07,5.75,83.26,100,0
Guiberoua,2287970,6.24,4.52,74.44,95,100
Punta Arenas,3874787,-53.16,16.11,47.23,42,0
Gat,2249901,14.69,7.65,85.87,81,12
Port-Cartier,6111696,50.03,9.17,50.0,100,90
Townsville,2146142,-19.26,5.82,69.8,77,40
Bogorodskoye,2126638,52.37,3.51,36.1,100,0
Sibolga,1213855,1.74,1.05,68.95,100,64
Vaini,1273574,15.34,1.72,71.83,96,64
Idritsa,557588,56.33,33.93,46.0,98,92
Bredasdorp,1015776,-34.53,13.87,71.6,37,8
Rikitea,4030556,-23.12,22.86,71.65,100,8
Kodiak,4407665,39.95,5.82,60.98,57,1
Pevek,2122090,69.7,7.76,36.91,100,36
Makakilo City,5850554,21.35,5.82,79.93,100,75
Chokurdakh,2126123,70.62,9.44,31.87,95,48
Tacuarembo,3440034,-31.73,6.53,73.72,89,88
Thompson,6165406,55.74,2.24,39.2,69,75
Alofi,4036284,-19.06,6.93,71.6,88,8
Esso,2125711,55.93,6.2,26.56,77,36
Haines Junction,5969025,60.75,2.28,34.3,74,64
Jamestown,2069194,-33.21,2.84,42.22,44,0
Bahia Blanca,3865086,-38.72,16.04,54.55,74,92
Sanandaj,117574,35.31,2.39,47.44,65,0
Tortoli,2522890,39.93,18.34,64.4,52,20
Lebu,344979,8.96,6.93,62.6,63,20
Ornskoldsvik,2686469,63.29,33.33,50.0,99,20
